ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena
Golf,2011,263000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.900

Passat,2002,418000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.390

Passat,2016,248002,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.850

Golf,2008,235000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.990

Golf,2009,279000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",6.490

Scirocco,2009,180895,bencinski motor,ročni menjalnik,"1390 ccm, 118 kW / 160 KM",6.000

Passat,2007,340000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.180

Golf,2014,177002,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",14.690

Golf,2011,52600,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",9.600

Passat,2012,299000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",6.750

Golf,2015,265331,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.990

Jetta,2016,218001,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",9.990

Polo,2020,10906,bencinski motor,ročni menjalnik,"999 ccm, 48 kW / 65 KM",15.690

Golf,2009,149700,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",6.800

Passat,2007,270000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.400

Caravelle,2016,115000,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",28.990

Passat,2012,250479,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.490

Caddy,2018,30000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",24.490

Golf,2015,153000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.999

Golf,2011,247900,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.500

Transporter,2015,154600,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",24.555

Tiguan,2010,41000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",12.200

Golf,2001,267800,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",680

Jetta,2011,211032,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.390

CrossTouran,2007,250000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",5.800

Golf,2015,120700,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",11.990

Golf,2018,167451,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",17.990

Caddy,2007,338000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.950

Jetta,2006,283940,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.990

Caddy,2004,280000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.450

Caddy,2011,116000,diesel motor,ročni menjalnik,"1598 ccm, 75 kW / 102 KM",9.490

Passat,2017,153271,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.990

Passat,2015,245031,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",14.990

Golf,2009,171000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.190

Passat,2011,292001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",6.990

Passat,2008,209115,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.990

Passat,2007,470000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.400

Golf,2011,78000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",7.600

Touareg,2008,171000,diesel motor,avtomatski menjalnik,"2461 ccm, 128 kW / 174 KM",7.500

Polo,2013,98000,bencinski motor,ročni menjalnik,"1198 ccm, 51 kW / 69 KM",7.490

Touran,2016,149752,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.850

Golf,2018,50902,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",23.950

Multivan,2017,110000,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",33.900

Golf,2000,210000,bencinski motor,ročni menjalnik,"2792 ccm, 150 kW / 204 KM",6.999

Passat,2010,203558,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",10.999

Passat,2004,370000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",700

Sharan,2011,280000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.000

Golf,2017,181343,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",11.999

Polo,2004,270000,diesel motor,ročni menjalnik,"1896 ccm, 47 kW / 64 KM",850

T-Roc,2018,49000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",20.600

Passat,2009,390000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.500

Touareg,2019,48000,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",55.990

Polo,2006,125000,diesel motor,ročni menjalnik,"1422 ccm, 51 kW / 69 KM",3.400

Golf,2005,272500,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",2.850

Passat,2016,147400,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.250

up!,2016,10000,bencinski motor,ročni menjalnik,"999 ccm, 44 kW / 60 KM",8.700

Golf,2011,275000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.800

Golf,2005,285000,diesel motor,avtomatski menjalnik,"1896 ccm, 77 kW / 105 KM",3.050

Polo,2004,237000,bencinski motor,ročni menjalnik,"1198 ccm, 47 kW / 64 KM",1.500

Passat,2021,800,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",33.490

Passat,2001,303000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",3.000

Polo,2014,188000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",10.900

Scirocco,2009,166600,bencinski motor,ročni menjalnik,"1390 ccm, 118 kW / 160 KM",8.390

Polo,2004,201000,bencinski motor,ročni menjalnik,"1199 ccm, 40 kW / 54 KM",850

Passat,2015,209321,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",10.990

Passat,2010,200000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.000

Sharan,2011,259500,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",10.440

Passat,2003,284876,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.800

Polo,2004,278331,diesel motor,ročni menjalnik,"1896 ccm, 47 kW / 64 KM",750

Passat,2017,149000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.770

Golf,2006,259000,bencinski motor,ročni menjalnik,"1984 ccm, 147 kW / 200 KM",6.990

Golf,2013,195000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.300

Passat,2016,113977,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.995

Golf,2006,331001,diesel motor,ročni menjalnik,"1968 ccm, 55 kW / 75 KM",2.750

Caddy,2016,189873,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",11.999

Passat,2012,250000,diesel motor,avtomatski menjalnik,"1968 ccm, 125 kW / 170 KM",6.800

up!,2016,95831,bencinski motor,ročni menjalnik,"999 ccm, 44 kW / 60 KM",7.490

Passat,2015,214200,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",9.999

Passat,2013,259000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.500

Passat,2006,314000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.700

Touran,2011,137813,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",7.999

Golf,2010,135730,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.599

Passat,2011,254102,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.300

Golf,2010,179000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",5.250

Golf,2006,199000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.850

Golf,2008,27000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.100

Jetta,2012,256000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.400

Passat,2014,229000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.900

Golf,2011,226000,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",5.800

Touran,2013,306000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.250

Golf,2017,128000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",21.444

Passat,2001,380000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",2.100

Golf,2003,280000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",2.290

Passat,2017,162500,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.500

Sharan,2011,170423,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",15.790

Golf,2000,242000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",2.750

Golf,2018,88000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",21.000

Golf,2003,243129,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",2.222

Golf,2004,341000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.000

Golf,2004,172200,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",2.390

Golf,2016,115000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Golf,2010,213500,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",6.200

Passat,2004,376123,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.350

Passat,2002,470000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.150

Golf,2015,98700,bencinski motor,ročni menjalnik,"1197 ccm, 81 kW / 110 KM",11.990

Passat,2015,142000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.200

Passat,2015,194000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",13.890

Passat,2010,331000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",5.900

Passat,2015,109000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.960

Golf,2002,260000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.900

Golf,2014,204000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.500

Passat,2009,256000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",5.100

Golf,2004,300000,diesel motor,ročni menjalnik,"1968 ccm, 55 kW / 75 KM",1.500

Golf,2014,244000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",9.990

Passat,2003,327000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.950

Caravelle,2018,60000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",40.000

Tiguan,2017,134881,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",24.888

Tiguan,2012,191000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",12.200

Golf,2015,147000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Tiguan,2021,9500,diesel motor,avtomatski menjalnik,"1968 ccm, 147 kW / 200 KM",43.990

Tiguan,2018,148000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",28.500

Golf,2005,320000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.200

Touran,2012,91000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",13.200

Golf,2006,137000,bencinski motor,ročni menjalnik,"1984 ccm, 147 kW / 200 KM",6.800

Touareg,2005,330000,diesel motor,avtomatski menjalnik,"4921 ccm, 230 kW / 313 KM",7.000

Passat,2017,144000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.490

Golf,2013,115000,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",8.990

Polo,2009,83000,bencinski motor,ročni menjalnik,"1198 ccm, 44 kW / 60 KM",5.700

Hrošč,1975,112000,bencinski motor,ročni menjalnik,"35 ccm, 35 kW / 48 KM",6.700

Golf,2014,116000,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",9.790

Touran,2006,283000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.390

Passat,2007,58500,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",20.500

Golf,2014,198000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",11.500

Passat,2008,350000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.550

Tiguan,2018,85124,diesel motor,avtomatski menjalnik,"1998 ccm, 110 kW / 150 KM",22.999

Passat,2001,358140,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.000

Golf,2010,262000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",3.850

Passat,2007,318000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.600

Polo,2002,137000,bencinski motor,ročni menjalnik,46 kW / 63 KM,650

Passat,2015,249000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",12.250

Passat,2015,215000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",14.000

Passat,2006,214066,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",4.000

Jetta,2011,192000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.400

Sharan,2015,156774,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",14.488

Golf,2015,128900,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",13.250

Golf,2017,130000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.690

Passat,2007,398000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.700

Golf,2016,177000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",12.590

Golf,2018,169873,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",16.999

Passat,2013,248000,diesel motor,ročni menjalnik,"1968 ccm, 130 kW / 177 KM",10.000

Caddy,2014,260000,diesel motor,ročni menjalnik,75 kW / 102 KM,8.500

Golf,2007,138220,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",6.000

Golf,1998,228000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.400

Bora,2000,274000,diesel motor,ročni menjalnik,66 kW / 90 KM,870

Golf,2017,185000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",17.999

Polo,2001,307128,diesel motor,ročni menjalnik,"1896 ccm, 47 kW / 64 KM",1.650

Golf,2010,230002,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",5.490

Passat,2011,315344,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",6.450

Golf,2018,22001,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",24.990

Touareg,2005,335000,diesel motor,ročni menjalnik,"2461 ccm, 128 kW / 174 KM",3.900

Passat,2017,135000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",16.950

Passat,2019,149000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.500

Caravelle,2012,230000,diesel motor,ročni menjalnik,"20 ccm, 103 kW / 140 KM",19.850

Golf,2011,134000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.490

Passat,2012,314555,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",6.999

Golf,2009,250521,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",6.390

Golf,2018,110000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",19.350

Golf,2010,160000,diesel motor,ročni menjalnik,"1968 ccm, 88 kW / 120 KM",7.550

Golf,2014,152300,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.800

Golf,2009,114260,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.699

Golf,2012,140000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.950

Golf,2010,144000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",5.690

Polo,2005,199454,bencinski motor,ročni menjalnik,"1390 ccm, 74 kW / 101 KM",2.100

Passat,2016,143000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",18.880

Passat,2018,122000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",18.980

Golf,2008,194103,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",4.890

Golf,2015,145000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",15.950

Passat,2016,219000,diesel motor,ročni menjalnik,110 kW / 150 KM,17.150

Golf,2017,129228,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",13.990

Golf,1990,289000,diesel motor,ročni menjalnik,"1588 ccm, 44 kW / 60 KM",740

Golf,2017,82000,bencinski motor,ročni menjalnik,"1498 ccm, 110 kW / 150 KM",18.350

Golf,2007,298000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",2.999

Transporter,1996,108000,bencinski motor,ročni menjalnik,"1968 ccm, 62 kW / 84 KM",10.900

Amarok,2018,50200,diesel motor,avtomatski menjalnik,"2997 ccm, 165 kW / 224 KM",37.200

Passat,2008,295000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",5.100

Polo,2007,146884,bencinski motor,ročni menjalnik,"1390 ccm, 59 kW / 80 KM",3.300

Caddy,1985,150000,diesel motor,ročni menjalnik,45 kW / 61 KM,11.000

Golf,2010,167400,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.190

Passat,2015,180000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",13.500

Passat,2012,204000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.200

Golf,2014,124000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",12.480

Passat,2008,400000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.750

Touran,2014,194000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.200

Passat,2013,268500,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.950

Touran,2017,32500,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",20.900

Golf,2015,162000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",11.480

Passat,2012,210002,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.290

Passat,2015,161837,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.980

Touran,2005,318340,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.100

CC,2012,209000,diesel motor,avtomatski menjalnik,"1968 ccm, 125 kW / 170 KM",14.880

Touran,2018,128200,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",16.790

Passat,2007,391000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.590

Passat,2018,105346,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",18.490

Golf,2013,85211,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.250

Golf,2019,90130,bencinski motor,ročni menjalnik,"1498 ccm, 96 kW / 131 KM",15.890

Caddy,2014,320000,diesel motor,ročni menjalnik,75 kW / 102 KM,8.100

Golf,2014,140000,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",18.000

Golf,2018,77000,bencinski motor,avtomatski menjalnik,"1984 ccm, 180 kW / 245 KM",28.000

Golf,2015,198600,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.240

Golf,2003,252000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.300

Passat,2016,170000,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",19.500

Transporter,2002,367512,diesel motor,ročni menjalnik,"2461 ccm, 65 kW / 88 KM",6.500

Jetta,2007,225432,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.899

Passat,2012,258000,diesel motor,avtomatski menjalnik,"1968 ccm, 125 kW / 170 KM",8.990

Golf,2009,230000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",5.950

Golf,2009,149874,bencinski motor,ročni menjalnik,"1595 ccm, 75 kW / 102 KM",4.999

Golf,2017,98000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",15.990

Touran,2017,177776,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",14.600

Polo,2017,134000,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",9.900

Golf,1998,260000,bencinski motor,ročni menjalnik,"1595 ccm, 74 kW / 101 KM",690

Golf,2013,121800,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",11.250

Sharan,2005,268000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",2.990

Golf,2010,213000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",5.990

Polo,2003,167000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.200

Golf,2007,278000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.000

Passat,2011,186000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.390

Golf,1998,259000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",450

Golf,2017,159000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.490

Touran,2007,255000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.550

Golf,2015,126000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",16.800

Golf,2011,261095,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",5.950

Golf,2014,134000,bencinski motor,ročni menjalnik,"1984 ccm, 162 kW / 220 KM",15.999

Golf,2000,279240,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",500

Golf,2018,122000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.890

Golf,2017,43500,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",24.590

Passat,2019,59500,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",26.885

Sharan,2013,198000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",12.885

