ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena
Golf,2014,94500,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",16.800

Polo,2010,61000,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",7.490

Golf,2019,105886,bencinski motor,avtomatski menjalnik,"1984 ccm, 180 kW / 245 KM",25.990

Golf,2014,137023,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.970

Golf,2014,166771,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",9.999

Golf,2011,239000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.900

Golf,2013,137543,bencinski motor,ročni menjalnik,"1395 ccm, 103 kW / 140 KM",13.699

Golf,2014,112300,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",9.700

Golf,2016,191000,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",10.999

Golf,2002,260000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",999

Tiguan,2012,151800,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",13.980

Touran,2018,165236,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",15.990

Golf,2002,309444,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",2.200

Passat,2018,163115,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",24.670

Transporter,2008,310000,diesel motor,ročni menjalnik,"2460 ccm, 96 kW / 131 KM",5.985

Polo,2001,139500,bencinski motor,ročni menjalnik,"900 ccm, 55 kW / 75 KM",690

Golf,2011,320000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",4.100

Golf,2011,193000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.785

Passat,2018,170000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",19.990

Caravelle,2018,71000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",39.690

-,2003,314000,bencinski motor,ročni menjalnik,"2500 ccm, 85 kW / 116 KM",5.900

Passat,1999,300000,diesel motor,ročni menjalnik,"1896 ccm, 81 kW / 110 KM",900

Tiguan,2017,36072,bencinski motor,ročni menjalnik,"1395 ccm, 110 kW / 150 KM",29.999

Passat,2014,190001,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.990

Polo,2004,234000,diesel motor,ročni menjalnik,47 kW / 64 KM,950

Golf,2020,8500,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.490

Passat,2000,161000,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",4.800

Golf,2010,187000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.250

Golf,2015,131000,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",9.300

Golf,2016,164000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",10.490

Passat,2009,269339,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.890

Sharan,2013,274000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.690

Touran,2016,124608,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",17.990

Golf,2001,320000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",799

Golf,2009,269000,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",8.999

Sharan,2011,340000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.500

Polo,2019,56000,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",13.500

Transporter,2011,234000,diesel motor,ročni menjalnik,"2000 ccm, 103 kW / 140 KM",12.700

Passat,2014,208000,diesel motor,avtomatski menjalnik,"2000 ccm, 103 kW / 140 KM",8.650

Golf,2016,54900,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",12.600

Golf,2000,399000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",1.500

Golf,2002,320000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",2.550

Touran,2019,156244,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",17.690

Golf,2000,162000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",700

Passat,2001,278500,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",1.990

Eos,2007,245000,bencinski motor,ročni menjalnik,"1984 ccm, 110 kW / 150 KM",5.590

Arteon,2007,160000,bencinski motor,ročni menjalnik,"1595 ccm, 75 kW / 102 KM",3.400

Golf,2009,350430,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.650

Tiguan,2018,99242,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",31.980

Passat,2016,228000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",12.850

Golf,2016,39000,elektro pogon,avtomatski menjalnik,85 kW,15.600

Touran,2010,213000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",6.550

Passat,2009,333000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",5.000

Golf,2013,176305,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",13.899

Tiguan,2010,215000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",10.990

Polo,2021,20295,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",16.890

Passat,1998,331000,bencinski motor,ročni menjalnik,"1781 ccm, 110 kW / 150 KM",550

Passat,2020,22600,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",30.333

Tiguan,2009,295000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",7.650

Golf,2018,103796,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",19.490

Polo,2018,42500,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",13.800

Tiguan,2013,188000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",13.200

T-Roc,2018,94797,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",26.990

Golf,2015,154000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",10.950

T-Roc,2018,55300,bencinski motor,ročni menjalnik,"1498 ccm, 110 kW / 150 KM",23.990

Passat,2017,149000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.995

Passat,2015,168108,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Passat,2009,230286,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",7.950

Polo,2018,125446,diesel motor,ročni menjalnik,"1598 ccm, 70 kW / 95 KM",14.450

Golf,2010,77813,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",9.300

Tiguan,2018,57478,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",39.990

Golf,2018,89977,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.490

Touran,2016,144040,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",18.600

Passat,2015,228000,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",10.000

Passat,2018,54616,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",23.990

Passat,2021,15000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",34.898

Passat,2019,130392,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",25.590

Golf,2015,154000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.950

Tiguan,2017,119358,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",25.680

Golf,2016,95000,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",19.200

Passat,2016,169346,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",18.100

Touran,2016,113815,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",19.900

Golf,2019,79544,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",15.970

Eos,2014,170000,diesel motor,ročni menjalnik,"2000 ccm, 130 kW / 177 KM",11.990

Tiguan,2015,57000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",16.850

Golf,2007,343258,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.999

Passat,2014,244000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.940

Jetta,2008,290000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.300

Passat,2003,341000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.175

Touran,2016,169000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",16.200

Multivan,2016,269074,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",27.990

T-Cross,2021,15000,bencinski motor,ročni menjalnik,"999 ccm, 81 kW / 110 KM",21.742

Passat,2005,265000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.500

Golf,2002,380000,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",1.300

Golf,2009,132000,diesel motor,ročni menjalnik,77 kW / 105 KM,6.999

Multivan,2010,278000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",18.900

Golf,2015,169000,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",15.990

Golf,2011,149000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.888

Golf,2015,144200,bencinski motor,ročni menjalnik,"1395 ccm, 92 kW / 125 KM",13.780

Transporter,2017,154600,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",24.990

Polo,2013,120000,diesel motor,ročni menjalnik,"1199 ccm, 55 kW / 75 KM",7.220

Golf,2014,123040,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",17.990

Golf,1991,270000,diesel motor,ročni menjalnik,"1588 ccm, 44 kW / 60 KM",990

Passat,2018,119991,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",21.990

CrossTouran,2008,193719,bencinski motor,avtomatski menjalnik,"1390 ccm, 103 kW / 140 KM",7.400

Passat,2016,159000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.700

Transporter,2017,265000,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",18.290

Passat,2009,304000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",5.300

Polo,1998,185466,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",15.999

Sharan,2007,265000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.999

Golf,2016,143301,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",12.490

Multivan,2003,290000,diesel motor,ročni menjalnik,"2460 ccm, 128 kW / 174 KM",7.900

Passat,2014,229630,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.990

Tiguan,2013,120328,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",18.990

Passat,2015,181116,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",14.900

Touran,2007,244000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.900

Passat,2003,6344,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",31.888

Golf,2003,287000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",1.400

Golf,2010,138000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.300

Golf,2002,211000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.290

Beetle,2014,26001,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",11.350

Passat,2017,209313,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.999

Touran,2018,147724,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",22.490

Touareg,2005,315000,diesel motor,avtomatski menjalnik,"2967 ccm, 165 kW / 224 KM",8.000

Touran,2018,165288,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",16.690

Golf,2014,151285,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.990

Passat,2012,177001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.650

Golf,2016,62601,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",12.800

Passat,2015,190000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",16.500

Golf,1999,287000,bencinski motor,ročni menjalnik,"1781 ccm, 110 kW / 150 KM",2.100

Passat,2015,176000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.400

Touran,2016,133000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.440

Touran,2011,261374,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.800

Passat,2015,118900,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.770

Golf,2005,317000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.700

Caddy,2018,132000,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",15.990

Golf,2011,261000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.980

Golf,2013,148000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",12.799

Golf,2013,134500,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",10.499

Multivan,2006,289765,diesel motor,avtomatski menjalnik,"2460 ccm, 96 kW / 131 KM",8.900

Polo,2014,75940,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",7.990

Golf,1999,296000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",1.250

Tiguan,2008,170000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.790

Passat,2014,238000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.950

Passat,2014,220000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.850

Transporter,2017,163000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",27.000

Passat,2005,375000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.000

Passat,2001,298000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",2.150

Amarok,2014,170000,diesel motor,avtomatski menjalnik,"1968 ccm, 132 kW / 179 KM",19.000

Golf,2019,48000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",25.555

Golf,1989,182735,bencinski motor,ročni menjalnik,40 kW / 54 KM,1.000

Tiguan,2009,186000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.690

Sharan,2013,189000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",11.950

Passat,2015,212000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",11.900

Golf,2012,94500,bencinski motor,ročni menjalnik,"1984 ccm, 155 kW / 211 KM",14.490

Passat,2016,152000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.999

Golf,2003,310000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",200

Golf,2004,328000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.450

Passat,2002,385000,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",700

Polo,2012,73500,bencinski motor,ročni menjalnik,"1198 ccm, 44 kW / 60 KM",7.200

Passat,2018,140000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",19.490

Golf,2016,83520,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",13.900

Scirocco,2008,170000,bencinski motor,avtomatski menjalnik,"1984 ccm, 147 kW / 200 KM",8.999

Passat,2011,10500,bencinski motor,ročni menjalnik,26 kW / 35 KM,7.500

Passat,2006,320000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.699

Passat,2018,115000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.870

Golf,2005,305000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.100

Passat,2001,394889,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",800

Polo,1999,198000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",5.800

Golf,2005,345000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.500

Multivan,2004,357238,diesel motor,ročni menjalnik,"2460 ccm, 96 kW / 131 KM",9.777

Passat,2013,220001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.490

Tiguan,2007,220635,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",7.500

Golf,2019,141524,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.470

Golf,2012,61350,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",7.500

Golf,1999,250000,diesel motor,ročni menjalnik,"1896 ccm, 47 kW / 64 KM",700

ID.4,2016,164400,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",36.500

Golf,2009,166200,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",6.490

Golf,2013,179460,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",8.590

Polo,2019,15670,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",8.888

Golf,2009,195000,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",5.300

Golf,2013,135560,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",8.390

Passat,2012,278000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",6.890

Golf,2017,53000,bencinski motor,ročni menjalnik,"999 ccm, 81 kW / 110 KM",16.590

Passat,2008,255704,bencinski motor,ročni menjalnik,"1798 ccm, 118 kW / 160 KM",3.000

Passat,2015,163651,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",12.990

Golf,2000,110000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.500

Passat,2014,235001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.990

Golf,2003,111007,diesel motor,ročni menjalnik,"1199 ccm, 55 kW / 75 KM",8.990

Tiguan,2017,144173,diesel motor,avtomatski menjalnik,"1598 ccm, 88 kW / 120 KM",13.800

Golf,2016,182000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",12.000

Passat,2007,277117,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.200

Golf,2017,150000,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",12.999

Transporter,2004,373000,diesel motor,ročni menjalnik,"2461 ccm, 96 kW / 131 KM",8.200

Passat,2013,200001,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",12.990

Tiguan,2017,65970,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",27.900

Golf,2018,71000,bencinski motor,ročni menjalnik,"999 ccm, 81 kW / 110 KM",15.590

Touran,2021,13430,bencinski motor,avtomatski menjalnik,"1498 ccm, 110 kW / 150 KM",32.352

Passat,2008,300000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.000

Touran,2017,128842,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",17.255

Golf,2018,76900,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",19.100

Passat,2012,149000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.300

Passat,2015,148900,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.990

Golf,1997,150000,diesel motor,ročni menjalnik,"1968 ccm, 140 kW / 190 KM",14.500

Scirocco,2013,175000,diesel motor,avtomatski menjalnik,"19 ccm, 103 kW / 140 KM",10.000

Golf,2015,89000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.490

Golf,1985,299000,diesel motor,ročni menjalnik,"1588 ccm, 37 kW / 50 KM",3.300

Tiguan,2011,160000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",12.850

Passat,2012,190001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",12.990

Golf,2021,5900,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",33.990

Tiguan,2018,136005,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",21.990

Multivan,2003,390000,diesel motor,ročni menjalnik,"2460 ccm, 128 kW / 174 KM",9.500

Caddy,2018,93816,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",19.000

Passat,2019,75000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",25.590

Golf,2015,137000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.800

Passat,2016,175621,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",12.490

Tiguan,2014,131000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",13.590

Golf,2017,91000,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",22.900

Passat,2015,189000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",17.100

Tiguan,2020,21000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",41.790

Tiguan,2017,99200,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",24.990

Passat,2008,304000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.500

Golf,2016,124058,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Multivan,2011,249488,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",18.888

Golf,2014,185000,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",12.500

Golf,2013,186000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",9.850

Golf,2014,160000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",11.290

Caddy,2012,97220,diesel motor,ročni menjalnik,"1598 ccm, 55 kW / 75 KM",9.799

Transporter,2007,302588,diesel motor,ročni menjalnik,"2460 ccm, 96 kW / 131 KM",4.500

Tiguan,2019,131098,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",34.880

Sharan,2016,97452,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",30.670

Sharan,2014,262000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",10.800

Golf,1984,245000,bencinski motor,ročni menjalnik,"1800 ccm, 82 kW / 111 KM",7.490

Touareg,2005,330000,diesel motor,ročni menjalnik,"1896 ccm, 85 kW / 116 KM",720

Touran,2016,172953,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",16.399

